ID;brand;model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;numberofpic
34;Skoda;Fabia;2019;14995.0;Manual;2202;Petrol;145.0;51.4;1.0;3
35;Audi;Q7;2017;35991.0;Semi-Auto;46566;Diesel;205.0;47.9;3.0;3
36;Toyota;Aygo;2016;7995.0;Manual;21897;Petrol;0.0;69.0;1.0;3
37;Audi;Q3;2015;17797.0;Semi-Auto;35117;Diesel;160.0;50.4;2.0;3
38;Toyota;Aygo;2017;7888.0;Manual;20857;Petrol;0.0;68.9;1.0;3
39;Audi;TT;2016;21241.0;Semi-Auto;19411;Petrol;160.0;43.5;2.0;3
40;BMW;X5;2019;49980.0;Automatic;3981;Diesel;145.0;37.7;3.0;3
41;Toyota;Aygo;2016;7440.0;Semi-Auto;15999;Petrol;0.0;67.0;1.0;3
42;Opel;Astra;2016;9495.0;Manual;18000;Petrol;20.0;64.2;1.0;3
43;BMW;X1;2016;19682.0;Semi-Auto;41455;Diesel;125.0;57.6;2.0;3
44;Toyota;Aygo;2017;7695.0;Manual;28572;Petrol;145.0;68.9;1.0;3
45;Skoda;Superb;2019;14680.0;Automatic;38800;Diesel;145.0;62.8;2.0;3
46;Toyota;Aygo;2017;5790.0;Manual;26333;Petrol;0.0;69.0;1.0;3
47;Toyota;RAV4;2017;18490.0;Automatic;30724;Petrol;205.0;43.5;2.0;3
48;Audi;Q5;2020;39495.0;Semi-Auto;5000;Petrol;145.0;32.1;2.0;3
49;Skoda;Scala;2020;17450.0;Semi-Auto;3000;Petrol;145.0;47.1;1.0;3
50;Skoda;Kodiaq;2019;24990.0;Automatic;7295;Petrol;145.0;32.1;2.0;3
51;Toyota;Aygo;2017;8890.0;Semi-Auto;3876;Petrol;0.0;67.0;1.0;3
52;Skoda;Fabia;2018;7690.0;Manual;19171;Petrol;150.0;57.7;1.0;3
53;Skoda;Kodiaq;2017;19498.0;Automatic;17984;Diesel;145.0;56.5;2.0;3
54;Audi;A3;2017;16436.0;Semi-Auto;48575;Petrol;145.0;49.6;2.0;3
55;Audi;TT;2015;16406.0;Semi-Auto;12123;Petrol;160.0;44.8;2.0;3
56;Skoda;Octavia;2016;16440.0;Manual;17325;Diesel;30.0;62.8;2.0;3
57;BMW;X5;2019;47500.0;Semi-Auto;6224;Diesel;145.0;36.7;3.0;2
58;Skoda;Fabia;2019;9295.0;Manual;5078;Petrol;145.0;57.7;1.0;3
59;Skoda;Fabia;2020;13430.0;Manual;985;Petrol;145.0;50.4;1.0;3
33735294;test;asd;123;12.0;Manual;231;Diesel;1213.0;123.0;4312432.0;1
